ら戳,基计,厨筍计,害禴翴计,害禴κだゑ
2021/12/30,18218.84,36138.47,-29.44,-0.16%
2021/12/29,18248.28,36196.87,51.47,0.28%
2021/12/28,18196.81,36094.77,147.87,0.82%
2021/12/27,18048.94,35801.46,87.3,0.49%
2021/12/24,17961.64,35628.29,14.98,0.08%
2021/12/23,17946.66,35598.57,119.83,0.67%
2021/12/22,17826.83,35360.89,37.56,0.21%
2021/12/21,17789.27,35286.39,120.16,0.68%
2021/12/20,17669.11,35048.03,-143.48,-0.81%
2021/12/17,17812.59,35332.58,26.85,0.15%
2021/12/16,17785.74,35279.33,125.64,0.71%
2021/12/15,17660.1,34983.75,60.73,0.35%
2021/12/14,17599.37,34863.46,-168.23,-0.95%
2021/12/13,17767.6,35196.71,-58.66,-0.33%
2021/12/10,17826.26,35312.81,-87.86,-0.49%
2021/12/9,17914.12,35486.84,81.7,0.46%
2021/12/8,17832.42,35324.84,35.5,0.20%
2021/12/7,17796.92,35254.47,108.71,0.61%
2021/12/6,17688.21,35039.12,-8.93,-0.05%
2021/12/3,17697.14,35056.82,-27.74,-0.16%
2021/12/2,17724.88,35111.77,138.89,0.79%
2021/12/1,17585.99,34836.57,158.23,0.91%
2021/11/30,17427.76,34523.13,99.67,0.58%
2021/11/29,17328.09,34325.66,-41.3,-0.24%
2021/11/26,17369.39,34407.48,-284.8,-1.61%
2021/11/25,17654.19,34971.55,11.67,0.07%
2021/11/24,17642.52,34948.43,-23.6,-0.13%
2021/11/23,17666.12,34994.93,-137.42,-0.77%
2021/11/22,17803.54,35266.96,-14.77,-0.08%
2021/11/19,17818.31,35296.18,-23.06,-0.13%
2021/11/18,17841.37,35341.78,77.33,0.44%
2021/11/17,17764.04,35188.59,70.91,0.40%
2021/11/16,17693.13,35048.14,58.66,0.33%
2021/11/15,17634.47,34931.93,116.34,0.66%
2021/11/12,17518.13,34701.48,65.61,0.38%
2021/11/11,17452.52,34571.52,-107.13,-0.61%
2021/11/10,17559.65,34783.73,18.29,0.10%
2021/11/9,17541.36,34747.5,126.06,0.72%
2021/11/8,17415.3,34497.6,118.4,0.68%
2021/11/5,17296.9,34263.04,218.04,1.28%
2021/11/4,17078.86,33831.13,-43.3,-0.25%
2021/11/3,17122.16,33916.91,56.19,0.33%
2021/11/2,17065.97,33805.61,-2.27,-0.01%
2021/11/1,17068.24,33809.74,80.83,0.48%
2021/10/29,16987.41,33649.62,-54.22,-0.32%
2021/10/28,17041.63,33757.02,-32.92,-0.19%
2021/10/27,17074.55,33822.23,40.21,0.24%
2021/10/26,17034.34,33742.48,140.1,0.83%
2021/10/25,16894.24,33464.87,5.5,0.03%
2021/10/22,16888.74,33453.97,-0.77,0.00%
2021/10/21,16889.51,33455.47,1.69,0.01%
2021/10/20,16887.82,33452.13,-12.85,-0.08%
2021/10/19,16900.67,33477.4,195.21,1.17%
2021/10/18,16705.46,33090.48,-75.73,-0.45%
2021/10/15,16781.19,33240.43,393.91,2.40%
2021/10/14,16387.28,32460.17,39.29,0.24%
2021/10/13,16347.99,32381.82,-114.85,-0.70%
2021/10/12,16462.84,32609.2,-177.59,-1.07%
2021/10/8,16640.43,32960.75,-73.43,-0.44%
2021/10/7,16713.86,33106.02,320.7,1.96%
2021/10/6,16393.16,32469.86,-67.59,-0.41%
2021/10/5,16460.75,32603.51,52.4,0.32%
2021/10/4,16408.35,32499.31,-162.54,-0.98%
2021/10/1,16570.89,32820.68,-363.88,-2.15%
2021/9/30,16934.77,33541.12,79.31,0.47%
2021/9/29,16855.46,33384.01,-325.98,-1.90%
2021/9/28,17181.44,34028.94,-132.33,-0.76%
2021/9/27,17313.77,34291.01,53.58,0.31%
2021/9/24,17260.19,34184.91,181.97,1.07%
2021/9/23,17078.22,33822.63,152.4,0.90%
2021/9/22,16925.82,33520.11,-350.97,-2.03%
2021/9/17,17276.79,34214.17,-1.91,-0.01%
2021/9/16,17278.7,34216.86,-75.3,-0.43%
2021/9/15,17354,34315.08,-80.9,-0.46%
2021/9/14,17434.9,34473.06,-11.41,-0.07%
2021/9/13,17446.31,34494.35,-28.26,-0.16%
2021/9/10,17474.57,34549.54,170.24,0.98%
2021/9/9,17304.33,34211.57,33.84,0.20%
2021/9/8,17270.49,34133.77,-158.38,-0.91%
2021/9/7,17428.87,34439.09,-66.43,-0.38%
2021/9/6,17495.3,34557.7,-21.62,-0.12%
2021/9/3,17516.92,34587.69,197.16,1.14%
2021/9/2,17319.76,34197.41,-154.23,-0.88%
2021/9/1,17473.99,34498.84,-16.3,-0.09%
2021/8/31,17490.29,34530.01,93.77,0.54%
2021/8/30,17396.52,34324.95,186.59,1.08%
2021/8/27,17209.93,33948.51,142.97,0.84%
2021/8/26,17066.96,33663.34,21.1,0.12%
2021/8/25,17045.86,33602.32,227.13,1.35%
2021/8/24,16818.73,33129.78,76.89,0.46%
2021/8/23,16741.84,32973.96,399.9,2.45%
2021/8/20,16341.94,32167.66,-33.46,-0.20%
2021/8/19,16375.4,32227.38,-450.87,-2.68%
2021/8/18,16826.27,33109.84,164.91,0.99%
2021/8/17,16661.36,32776.77,-197.41,-1.17%
2021/8/16,16858.77,33154.82,-123.34,-0.73%
2021/8/13,16982.11,33372.09,-237.83,-1.38%
2021/8/12,17219.94,33834.38,-7.24,-0.04%
2021/8/11,17227.18,33812.25,-96.46,-0.56%
2021/8/10,17323.64,33988.85,-161.51,-0.92%
2021/8/9,17485.15,34289.71,-41.13,-0.23%
2021/8/6,17526.28,34362.26,-76.84,-0.44%
2021/8/5,17603.12,34510.91,-20.77,-0.12%
2021/8/4,17623.89,34527.7,70.13,0.40%
2021/8/3,17553.76,34386.99,50.48,0.29%
2021/8/2,17503.28,34278.96,255.87,1.48%
2021/7/30,17247.41,33754.87,-155.4,-0.89%
2021/7/29,17402.81,34037.87,267.59,1.56%
2021/7/28,17135.22,33507.11,-134.65,-0.78%
2021/7/27,17269.87,33751.15,-133.69,-0.77%
2021/7/26,17403.56,33994.52,-169.36,-0.96%
2021/7/23,17572.92,34266.71,0.59,0.00%
2021/7/22,17572.33,34247.81,113.54,0.65%
2021/7/21,17458.79,33966.93,-69.95,-0.40%
2021/7/20,17528.74,34097.15,-260.51,-1.46%
2021/7/19,17789.25,34591.67,-106,-0.59%
2021/7/16,17895.25,34791.63,-138.94,-0.77%
2021/7/15,18034.19,35061.04,188.44,1.06%
2021/7/14,17845.75,34688.05,-1.77,-0.01%
2021/7/13,17847.52,34690.33,33.19,0.19%
2021/7/12,17814.33,34622.78,152.85,0.87%
2021/7/9,17661.48,34324.65,-204.61,-1.15%
2021/7/8,17866.09,34706.73,15.4,0.09%
2021/7/7,17850.69,34667.52,-62.38,-0.35%
2021/7/6,17913.07,34788.38,-6.26,-0.03%
2021/7/5,17919.33,34762.44,209.18,1.18%
2021/7/2,17710.15,34353.52,-3.79,-0.02%
2021/7/1,17713.94,34360.8,-41.52,-0.23%
2021/6/30,17755.46,34439.42,157.27,0.89%
2021/6/29,17598.19,34120.48,7.22,0.04%
2021/6/28,17590.97,34099.69,87.98,0.50%
2021/6/25,17502.99,33927.54,95.03,0.55%
2021/6/24,17407.96,33741.52,71.25,0.41%
2021/6/23,17336.71,33600.58,261.16,1.53%
2021/6/22,17075.55,33092.88,12.57,0.07%
2021/6/21,17062.98,33067.56,-255.56,-1.48%
2021/6/18,17318.54,33562.82,-72.07,-0.41%
2021/6/17,17390.61,33698.45,82.75,0.48%
2021/6/16,17307.86,33494.31,-63.43,-0.37%
2021/6/15,17371.29,33615.86,157.77,0.92%
2021/6/11,17213.52,33310.56,54.3,0.32%
2021/6/10,17159.22,33205.34,193,1.14%
2021/6/9,16966.22,32829.82,-109.99,-0.64%
2021/6/8,17076.21,33038.11,-7.7,-0.05%
2021/6/7,17083.91,33049.51,-63.5,-0.37%
2021/6/4,17147.41,33171.89,-98.75,-0.57%
2021/6/3,17246.16,33362.92,81.12,0.47%
2021/6/2,17165.04,33203.21,2.66,0.02%
2021/6/1,17162.38,33198.07,93.95,0.55%
2021/5/31,17068.43,33015.96,197.57,1.17%
2021/5/28,16870.86,32633.48,269.25,1.62%
2021/5/27,16601.61,32111.73,-42.08,-0.25%
2021/5/26,16643.69,32193.12,48.02,0.29%
2021/5/25,16595.67,32100.23,257.38,1.58%
2021/5/24,16338.29,31602.39,36.23,0.22%
2021/5/21,16302.06,31532.31,259.7,1.62%
2021/5/20,16042.36,31029.99,-90.3,-0.56%
2021/5/19,16132.66,31204.65,-13.32,-0.08%
2021/5/18,16145.98,31230.42,792.09,5.16%
2021/5/17,15353.89,29698.31,-473.2,-2.99%
2021/5/14,15827.09,30613.44,156.99,1.00%
2021/5/13,15670.1,30309.78,-232.27,-1.46%
2021/5/12,15902.37,30759.05,-680.76,-4.11%
2021/5/11,16583.13,32075.5,-652.48,-3.79%
2021/5/10,17235.61,33337.53,-49.39,-0.29%
2021/5/7,17285,33433.07,290.64,1.71%
2021/5/6,16994.36,32870.9,150.92,0.90%
2021/5/5,16843.44,32579,-90.34,-0.53%
2021/5/4,16933.78,32753.72,-288.57,-1.68%
2021/5/3,17222.35,33311.88,-344.31,-1.96%
2021/4/29,17566.66,33977.86,-0.87,0.00%
2021/4/28,17567.53,33979.54,-28.37,-0.16%
2021/4/27,17595.9,34034.23,23.61,0.13%
2021/4/26,17572.29,33988.57,272.02,1.57%
2021/4/23,17300.27,33462.25,203.3,1.19%
2021/4/22,17096.97,33064.53,-105.14,-0.61%
2021/4/21,17202.11,33265.38,-121.76,-0.70%
2021/4/20,17323.87,33500.84,60.59,0.35%
2021/4/19,17263.28,33383.67,104.47,0.61%
2021/4/16,17158.81,33181.65,82.08,0.48%
2021/4/15,17076.73,33021.1,210.76,1.25%
